날짜,지점,강수량(mm)
2021-01-01,전국,0.2
2021-01-02,전국,0
2021-01-03,전국,0
2021-01-04,전국,0
2021-01-05,전국,0.1
2021-01-06,전국,0.9
2021-01-07,전국,1.2
2021-01-08,전국,0
2021-01-09,전국,0
2021-01-10,전국,0
2021-01-11,전국,0
2021-01-12,전국,0.4
2021-01-13,전국,0
2021-01-14,전국,0
2021-01-15,전국,0
2021-01-16,전국,0
2021-01-17,전국,0.1
2021-01-18,전국,1.7
2021-01-19,전국,0
2021-01-20,전국,0
2021-01-21,전국,4.1
2021-01-22,전국,1.3
2021-01-23,전국,1.7
2021-01-24,전국,0.1
2021-01-25,전국,0
2021-01-26,전국,5.9
2021-01-27,전국,0
2021-01-28,전국,1.2
2021-01-29,전국,0.1
2021-01-30,전국,0.1
2021-01-31,전국,0.5
2021-02-01,전국,9.3
2021-02-02,전국,0
2021-02-03,전국,0.7
2021-02-04,전국,0.8
2021-02-05,전국,0
2021-02-06,전국,0
2021-02-07,전국,0
2021-02-08,전국,0
2021-02-09,전국,0
2021-02-10,전국,0
2021-02-11,전국,0
2021-02-12,전국,0
2021-02-13,전국,0
2021-02-14,전국,2.4
2021-02-15,전국,0.6
2021-02-16,전국,1.1
2021-02-17,전국,0.5
2021-02-18,전국,0.1
2021-02-19,전국,0
2021-02-20,전국,0
2021-02-21,전국,0
2021-02-22,전국,0
2021-02-23,전국,0
2021-02-24,전국,0
2021-02-25,전국,3.1
2021-02-26,전국,0.9
2021-02-27,전국,0.2
2021-02-28,전국,0.3
2021-03-01,전국,49.9
2021-03-02,전국,2.7
2021-03-03,전국,0
2021-03-04,전국,3.9
2021-03-05,전국,0.1
2021-03-06,전국,0.3
2021-03-07,전국,0
2021-03-08,전국,0
2021-03-09,전국,0
2021-03-10,전국,0
2021-03-11,전국,0.6
2021-03-12,전국,13.2
2021-03-13,전국,0
2021-03-14,전국,0
2021-03-15,전국,0.2
2021-03-16,전국,1.8
2021-03-17,전국,0
2021-03-18,전국,0
2021-03-19,전국,0
2021-03-20,전국,6
2021-03-21,전국,0
2021-03-22,전국,0
2021-03-23,전국,0
2021-03-24,전국,0
2021-03-25,전국,0
2021-03-26,전국,0
2021-03-27,전국,26.6
2021-03-28,전국,5
2021-03-29,전국,0.1
2021-03-30,전국,0
2021-03-31,전국,0
2021-04-01,전국,0
2021-04-02,전국,0
2021-04-03,전국,32.3
2021-04-04,전국,9.4
2021-04-05,전국,0
2021-04-06,전국,0
2021-04-07,전국,0
2021-04-08,전국,0
2021-04-09,전국,0.6
2021-04-10,전국,0
2021-04-11,전국,0
2021-04-12,전국,20.8
2021-04-13,전국,3.1
2021-04-14,전국,0
2021-04-15,전국,0
2021-04-16,전국,0.2
2021-04-17,전국,0.1
2021-04-18,전국,0
2021-04-19,전국,0
2021-04-20,전국,0
2021-04-21,전국,0
2021-04-22,전국,0
2021-04-23,전국,0
2021-04-24,전국,0
2021-04-25,전국,0
2021-04-26,전국,0
2021-04-27,전국,0.3
2021-04-28,전국,0.3
2021-04-29,전국,1.6
2021-04-30,전국,7.5
2021-05-01,전국,9.1
2021-05-02,전국,1.7
2021-05-03,전국,0
2021-05-04,전국,17.5
2021-05-05,전국,1.3
2021-05-06,전국,0
2021-05-07,전국,1.9
2021-05-08,전국,0
2021-05-09,전국,0
2021-05-10,전국,5.2
2021-05-11,전국,2.7
2021-05-12,전국,0
2021-05-13,전국,0
2021-05-14,전국,0
2021-05-15,전국,9.2
2021-05-16,전국,44.2
2021-05-17,전국,4.5
2021-05-18,전국,0.2
2021-05-19,전국,0
2021-05-20,전국,11.1
2021-05-21,전국,3.1
2021-05-22,전국,0
2021-05-23,전국,0
2021-05-24,전국,0.3
2021-05-25,전국,2.7
2021-05-26,전국,0.2
2021-05-27,전국,2.7
2021-05-28,전국,15.3
2021-05-29,전국,0.4
2021-05-30,전국,3.5
2021-05-31,전국,5.6
2021-06-01,전국,0.3
2021-06-02,전국,0
2021-06-03,전국,19.9
2021-06-04,전국,1.3
2021-06-05,전국,0
2021-06-06,전국,0.1
2021-06-07,전국,0
2021-06-08,전국,0.1
2021-06-09,전국,0
2021-06-10,전국,4.6
2021-06-11,전국,22.9
2021-06-12,전국,3.1
2021-06-13,전국,0.1
2021-06-14,전국,0
2021-06-15,전국,9.1
2021-06-16,전국,2.8
2021-06-17,전국,0.7
2021-06-18,전국,3.3
2021-06-19,전국,0
2021-06-20,전국,0
2021-06-21,전국,0.4
2021-06-22,전국,5.3
2021-06-23,전국,2.7
2021-06-24,전국,0.2
2021-06-25,전국,2.4
2021-06-26,전국,4.3
2021-06-27,전국,1
2021-06-28,전국,2.8
2021-06-29,전국,2.9
2021-06-30,전국,1.6
2021-07-01,전국,0.4
2021-07-02,전국,0.3
2021-07-03,전국,41.4
2021-07-04,전국,19.4
2021-07-05,전국,26
2021-07-06,전국,51.6
2021-07-07,전국,33.7
2021-07-08,전국,23.2
2021-07-09,전국,6.8
2021-07-10,전국,6.5
2021-07-11,전국,2.5
2021-07-12,전국,0.4
2021-07-13,전국,0
2021-07-14,전국,0
2021-07-15,전국,2.7
2021-07-16,전국,4.4
2021-07-17,전국,2.1
